date,sales_quantity
2018-08-15,1
2018-08-15,1
2018-08-15,2
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,2
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,2
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,2
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,4
2018-08-15,1
2018-08-15,2
2018-08-15,2
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,2
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,2
2018-08-15,1
2018-08-15,2
2018-08-15,4
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,2
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,3
2018-08-15,1
2018-08-15,4
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,2
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,2
2018-08-15,3
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,2
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,2
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,2
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,2
2018-08-15,1
2018-08-15,1
2018-08-15,2
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,4
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,5
2018-08-15,1
2018-08-15,1
2018-08-15,1
2018-08-15,1
